job_title,company,city,state,description_raw_html,description_clean,extracted_skills,num_skills_found,years_required,education_required
Project Manager,American Well,Boston,MA,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText"">Company Description
<br>-------------------
<br><br>
At American Well, we believe digital care delivery will transform healthcare. Our mission is to connect and enable providers, insurers, patients, and innovators to deliver greater access to more affordable, higher quality care. We do this by partnering with our clients to deliver video visits over mobile and web. We have doctors, therapists, and specialists on staff to help people get care when and where they need it most.
<br><br>
<b>Brief Overview:</b><br>
The Project Manager will play a critical role in interfacing with clients, as well as internal sales, technology, product, and marketing organizations. Specifically, the Project Manager will be responsible for driving a successful implementation of the American Well telehealth platform, which meets specified objectives and requirements set by the client, and positioning the client for success with its telehealth service.
<br><br>
<b>Core Responsibilities:</b><br>
<ul>
<li>Serves as an expert in all aspects of the American Well platform</li>
<li>During the initial client implementation, serves as the primary client contact and managing all aspects of the implementation project. Coordinates with internal technical, QA, marketing, and visual design teams to ensure delivery according to the agreed upon scope and schedule</li>
<li>Manages client expectations by building relationships, communicating project status and open issues, preparing reports, managing change, and facilitating weekly meetings</li>
<li>Provides functional and technical guidance to the client's project team relative to workflow and solutions design</li>
<li>Manages the overall requirements process to ensure the platform is configured to meet the client's needs</li>
<li>Facilitates training sessions for the client's project and operational teams, and end users of the platform, specific to each client's business model</li>
<li>Communicates project status with team members and and senior business stakeholders</li>
<li>Utilizes sound judgment in assessing project health; identifying, mitigating and resolving project issues and risks to ensure on-time project delivery</li>
<li>Provides ongoing support and management of new business initiatives, software upgrades, and enhancements</li>
<li>Partners with the Account Director to support client account growth and drive ongoing project activities in support of the client's strategic objectives</li>
<li>Contributes to continuous process improvements within the Professional Services organization</li>
</ul>
<b>Qualifications:</b><br>
<ul>
<li>4-6 years of project management and/or consulting experience</li>
<li>Ability to concurrently manage multiple large projects in a technical and cross-functional environment, leading clients and team members through complex system implementations with aggressive delivery deadlines</li>
<li>Exceptional communication, leadership, team building, and people management skills</li>
<li>Outstanding time management and organization skills</li>
<li>Proven history of managing project teams to meet aggressive deadlines, utilizing sound project management methodology (processes, best practices, tools, and templates)</li>
<li>Ability to utilize effective communication skills to mitigate project risk</li>
<li>Proven experience managing project scope and schedule</li>
<li>Fluency with Microsoft Office Project, Excel, Word, PowerPoint, and Visio</li>
<li>Project Management Professional (PMP®) certification highly desired</li>
<li>Flexibility to travel up to 30% (overnight)</li>
</ul>
Additional information
<br>----------------------
<br><br>
<b>Your Team:</b><br>
Should you join American Well and the Professional Services team, you can expect:
<br><br>
Work hard play hard is definitely the mentality of the Professional Services team. We are the movers and the shakers in the American Well pyramid. Tasked with advancing client goals, workflows, and overall experience, thinking ""outside of the box"" is the only consistency each day on the Professional Services Team!
<br><br>
Comprised of five key areas of focus - Health Systems, Health Plans, Employers, Strategic Accounts, and a Project Management Office - this poised, articulate and fast-paced team is the driving force between our clients and American Well's revolutionary technology. Each specialized area within the Professional Services team has a common goal of managing an effortless and efficient user experience from behind the scenes; this team bridges the gap between the wants and needs of each unique client, putting them into action.
<br><br>
Telehealth is a new, exciting and evolving technology, changing the healthcare world. If you are passionate about healthcare, and would like to be surrounded by energetic, innovative team members…. We can't wait to meet you!
<br><br>
<b>Working at American Well:</b><br>
American Well is changing how care is delivered through online and mobile technology. We strive to make the hard work of healthcare look easy. In order to make this a reality, we look for people with a fast-paced, mission-driven mentality. We're a go-getter culture that prides itself on quality, efficiency, smarts, initiative, creative thinking, and a strong work ethic. Our corporate headquarters are located in downtown Boston at 75 State Street –in the heart of the city. In addition to the opportunity to build the future of healthcare technology and a great location, we offer:
<br><br>
<ul>
<li>Unlimited Personal Time Off (Vacation time)</li>
<li>401K match</li>
<li>Competitive healthcare, dental and vision insurance plans</li>
<li>Free gym access – on-site</li>
<li>Prime office space with views overlooking all of Boston</li>
<li>Complimentary snacks and drinks</li>
</ul>
</div>","Company Description ------------------- At American Well, we believe digital care delivery will transform healthcare. Our mission is to connect and enable providers, insurers, patients, and innovators to deliver greater access to more affordable, higher quality care. We do this by partnering with our clients to deliver video visits over mobile and web. We have doctors, therapists, and specialists on staff to help people get care when and where they need it most. Brief Overview: The Project Manager will play a critical role in interfacing with clients, as well as internal sales, technology, product, and marketing organizations. Specifically, the Project Manager will be responsible for driving a successful implementation of the American Well telehealth platform, which meets specified objectives and requirements set by the client, and positioning the client for success with its telehealth service. Core Responsibilities: Serves as an expert in all aspects of the American Well platform During the initial client implementation, serves as the primary client contact and managing all aspects of the implementation project. Coordinates with internal technical, QA, marketing, and visual design teams to ensure delivery according to the agreed upon scope and schedule Manages client expectations by building relationships, communicating project status and open issues, preparing reports, managing change, and facilitating weekly meetings Provides functional and technical guidance to the client's project team relative to workflow and solutions design Manages the overall requirements process to ensure the platform is configured to meet the client's needs Facilitates training sessions for the client's project and operational teams, and end users of the platform, specific to each client's business model Communicates project status with team members and and senior business stakeholders Utilizes sound judgment in assessing project health; identifying, mitigating and resolving project issues and risks to ensure on-time project delivery Provides ongoing support and management of new business initiatives, software upgrades, and enhancements Partners with the Account Director to support client account growth and drive ongoing project activities in support of the client's strategic objectives Contributes to continuous process improvements within the Professional Services organization Qualifications: 4-6 years of project management and/or consulting experience Ability to concurrently manage multiple large projects in a technical and cross-functional environment, leading clients and team members through complex system implementations with aggressive delivery deadlines Exceptional communication, leadership, team building, and people management skills Outstanding time management and organization skills Proven history of managing project teams to meet aggressive deadlines, utilizing sound project management methodology (processes, best practices, tools, and templates) Ability to utilize effective communication skills to mitigate project risk Proven experience managing project scope and schedule Fluency with Microsoft Office Project, Excel, Word, PowerPoint, and Visio Project Management Professional (PMP®) certification highly desired Flexibility to travel up to 30% (overnight) Additional information ---------------------- Your Team: Should you join American Well and the Professional Services team, you can expect: Work hard play hard is definitely the mentality of the Professional Services team. We are the movers and the shakers in the American Well pyramid. Tasked with advancing client goals, workflows, and overall experience, thinking ""outside of the box"" is the only consistency each day on the Professional Services Team! Comprised of five key areas of focus - Health Systems, Health Plans, Employers, Strategic Accounts, and a Project Management Office - this poised, articulate and fast-paced team is the driving force between our clients and American Well's revolutionary technology. Each specialized area within the Professional Services team has a common goal of managing an effortless and efficient user experience from behind the scenes; this team bridges the gap between the wants and needs of each unique client, putting them into action. Telehealth is a new, exciting and evolving technology, changing the healthcare world. If you are passionate about healthcare, and would like to be surrounded by energetic, innovative team members…. We can't wait to meet you! Working at American Well: American Well is changing how care is delivered through online and mobile technology. We strive to make the hard work of healthcare look easy. In order to make this a reality, we look for people with a fast-paced, mission-driven mentality. We're a go-getter culture that prides itself on quality, efficiency, smarts, initiative, creative thinking, and a strong work ethic. Our corporate headquarters are located in downtown Boston at 75 State Street –in the heart of the city. In addition to the opportunity to build the future of healthcare technology and a great location, we offer: Unlimited Personal Time Off (Vacation time) 401K match Competitive healthcare, dental and vision insurance plans Free gym access – on-site Prime office space with views overlooking all of Boston Complimentary snacks and drinks","['git', 'api', 'visio', 'excel', 'stakeholder', 'process improvement', 'pmp', 'senior', 'lead', 'manager', 'director', 'healthcare', 'insurance', 'leadership', 'communication', 'time management']",16,6.0,Not specified
Senior Project Manager,Razorfish Health,Philadelphia,PA,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText"">
<div>
<div>Senior Project Manager- Razorfish Health, Philadelphia(Job Number: RHW000892)</div>
<p></p>
<div>
Description<div>
</div>
<div><div><div><div>
<div><div>
About Razorfish Health</div></div>
<div><div>
Razorfish Health is unique among the roster of the largest healthcare agencies. Here’s why:</div></div>
<div><div>
At Razorfish Health, we were built on re-invention. We were one of the very first digital agencies more than two decades ago, and we have continued to reinvent our agency, our team, and we specialize in re-inventing brands, campaigns and categories every day.</div></div>
<div><div>
We have the deepest team of credentialed medical scientists, an award winning creative team, and an in-house data analytics team which allows us to understand the insights driving physicians, payers, and patients and to create ideas that help transform our clients’ brands.</div></div>
<div><div>
We have offices in New York, Chicago, Philadelphia, and London with over 300 colleagues, serving a broad base of clients including 4 of the top 10 pharma companies, as well as OTC, biotech and health systems and hospitals.</div></div>
<div><div>
In a sea of same, we swim differently. Our people are unique. Our perspectives are unique. Find out why our employees are proud to say #IAmARazorfish.</div></div>
<div><div>
Web: http://www.razorfishhealth.com | Facebook: https://www.facebook.com/razorfishhealth</div></div>
<div><div>
Twitter: https://twitter.com/RazorfishHealth</div></div>
<div>
<div><div>
Overall Description</div></div>
<div><div>
Razorfish Health is seeking a Senior Project Manager to join a robust team who are leading our clients to new innovations. The ideal candidate is a project management expert, mentor, and advocate. They are a trusted partner able to align internal teams with a mutual understanding of all deliverables and drive them to execution. The Senior Project Manager will understand agency work products to oversee a team delivering work for at least one significant client book of business. They will partner with other departments to resolve project-level issues and advocate for process improvements. The Senior Project Manager’s responsibilities include, but are not limited to, the following:</div></div>
<div><ul>
<li><div>
Act as the project lead across projects and be ultimately responsible for the delivery of high-quality deliverables that power client satisfaction, meet business requirements, and balance client and agency economics</div></li>
<li><div>
Define project scope, draft statements of work (SOWs), create staff plans, estimate budgets, and produce timelines that align to client and business needs</div></li>
<li><div>
Interface heavily with marketing, technical, and creative senior leads to assure that the solution is understood and addresses the customer's business requirements</div></li>
</ul></div>
</div>
<div><div><ul>
<li><div>
Manage the execution of work, which includes tracking team progress, routing deliverables for approval, monitoring scope, and analyzing financial performance</div></li>
<li><div>
Actively monitor project risks/issues, escalate in a timely manner, and drive teams to effective solutions</div></li>
<li><div>
Be responsible for the accurate financial management of the portfolio of projects to which they are assigned</div></li>
<li><div>
In addition to the project responsibilities, may support pre-sales planning and scoping activities</div></li>
<li><div>
Managing and mentoring junior staff</div></li>
</ul></div></div>
<div>
<div><div>
</div></div>
<div><div>
Qualifications</div></div>
<div><ul>
<li><div>
5-7+ years applicable experience as a Project Manager in an agency setting</div></li>
<li><div>
Fully integrated (marketing, technical, digital, etc) delivery experience is required</div></li>
<li><div>
Healthcare or pharma experience is required</div></li>
</ul></div>
</div>
<div><div><ul>
<li><div>
Bachelor's degree in Marketing, MIS, Business Administration, or related field is preferred but not required</div></li>
<li><div>
Solid understanding of project management methodology, including the ability to identify and resolve issues, manage risk, and develop detailed work plans and specifications</div></li>
<li><div>
Comfort managing multidisciplinary teams, which may consist of creatives, technologists, media experts, etc</div></li>
<li><div>
Experience interfacing with clients and partner vendors on technical delivery projects</div></li>
</ul></div></div>
<div></div>
<br>
<div><div>
</div></div>
<div><div>
About Publicis Health</div></div>
<div><div>
Publicis Health is the world’s premier health-oriented agency network. A division of Publicis Groupe, Publicis Health manages top-tier agencies specializing in promoting innovative solutions in advertising, digital, branding, message delivery, market access, and medical communications. Publicis Health’s mission is to be the indispensable force for health and wellness business transformation through the alchemy of creativity and technology—for good.</div></div>
<div><div>
With more than 5,000 employees around the world, Publicis Health manages 18 agency brands through 40 offices located in seven countries. Publicis Health brands include Digitas Health, Discovery USA, Heartbeat, in-sync, Langland, Maxcess Managed Markets, Payer Sciences, PDI, PlowShare Group, Publicis Health Media, Publicis LifeBrands, Publicis Resolute, Publicis Touchpoint Solutions, Razorfish Health, Real Science, Saatchi &amp; Saatchi Wellness, Tardis Medical Consultancy, and Verilogue.</div></div>
<div><div>
<br>
Web: www.publicishealth.com | Facebook: www.facebook.com/publicishealth</div></div>
<div><div>
Twitter: www.twitter.com/PublicisHealth/</div></div>
<div><div>
<br>
Not all applicants will be contacted. Publicis Health is an equal opportunity employer. No vendor/agency solicitation please.</div></div>
</div></div></div></div>
</div>
</div>
<p></p>
</div>","Senior Project Manager- Razorfish Health, Philadelphia(Job Number: RHW000892) Description About Razorfish Health Razorfish Health is unique among the roster of the largest healthcare agencies. Here’s why: At Razorfish Health, we were built on re-invention. We were one of the very first digital agencies more than two decades ago, and we have continued to reinvent our agency, our team, and we specialize in re-inventing brands, campaigns and categories every day. We have the deepest team of credentialed medical scientists, an award winning creative team, and an in-house data analytics team which allows us to understand the insights driving physicians, payers, and patients and to create ideas that help transform our clients’ brands. We have offices in New York, Chicago, Philadelphia, and London with over 300 colleagues, serving a broad base of clients including 4 of the top 10 pharma companies, as well as OTC, biotech and health systems and hospitals. In a sea of same, we swim differently. Our people are unique. Our perspectives are unique. Find out why our employees are proud to say #IAmARazorfish. Web: http://www.razorfishhealth.com | Facebook: https://www.facebook.com/razorfishhealth Twitter: https://twitter.com/RazorfishHealth Overall Description Razorfish Health is seeking a Senior Project Manager to join a robust team who are leading our clients to new innovations. The ideal candidate is a project management expert, mentor, and advocate. They are a trusted partner able to align internal teams with a mutual understanding of all deliverables and drive them to execution. The Senior Project Manager will understand agency work products to oversee a team delivering work for at least one significant client book of business. They will partner with other departments to resolve project-level issues and advocate for process improvements. The Senior Project Manager’s responsibilities include, but are not limited to, the following: Act as the project lead across projects and be ultimately responsible for the delivery of high-quality deliverables that power client satisfaction, meet business requirements, and balance client and agency economics Define project scope, draft statements of work (SOWs), create staff plans, estimate budgets, and produce timelines that align to client and business needs Interface heavily with marketing, technical, and creative senior leads to assure that the solution is understood and addresses the customer's business requirements Manage the execution of work, which includes tracking team progress, routing deliverables for approval, monitoring scope, and analyzing financial performance Actively monitor project risks/issues, escalate in a timely manner, and drive teams to effective solutions Be responsible for the accurate financial management of the portfolio of projects to which they are assigned In addition to the project responsibilities, may support pre-sales planning and scoping activities Managing and mentoring junior staff Qualifications 5-7+ years applicable experience as a Project Manager in an agency setting Fully integrated (marketing, technical, digital, etc) delivery experience is required Healthcare or pharma experience is required Bachelor's degree in Marketing, MIS, Business Administration, or related field is preferred but not required Solid understanding of project management methodology, including the ability to identify and resolve issues, manage risk, and develop detailed work plans and specifications Comfort managing multidisciplinary teams, which may consist of creatives, technologists, media experts, etc Experience interfacing with clients and partner vendors on technical delivery projects About Publicis Health Publicis Health is the world’s premier health-oriented agency network. A division of Publicis Groupe, Publicis Health manages top-tier agencies specializing in promoting innovative solutions in advertising, digital, branding, message delivery, market access, and medical communications. Publicis Health’s mission is to be the indispensable force for health and wellness business transformation through the alchemy of creativity and technology—for good. With more than 5,000 employees around the world, Publicis Health manages 18 agency brands through 40 offices located in seven countries. Publicis Health brands include Digitas Health, Discovery USA, Heartbeat, in-sync, Langland, Maxcess Managed Markets, Payer Sciences, PDI, PlowShare Group, Publicis Health Media, Publicis LifeBrands, Publicis Resolute, Publicis Touchpoint Solutions, Razorfish Health, Real Science, Saatchi & Saatchi Wellness, Tardis Medical Consultancy, and Verilogue. Web: www.publicishealth.com | Facebook: www.facebook.com/publicishealth Twitter: www.twitter.com/PublicisHealth/ Not all applicants will be contacted. Publicis Health is an equal opportunity employer. No vendor/agency solicitation please.","['git', 'visio', 'business requirement', 'process improvement', 'bachelor', 'senior', 'lead', 'junior', 'manager', 'healthcare', 'communication', 'mentoring']",12,7.0,Bachelor
IT Project Manager,Cross River Bank,Fort Lee,NJ,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText""><div>
<p><b>Who We Are</b><br>
At Cross River, we’re building the best banking and technology products for fintechs, all through APIs. As venture-backed pioneers of the platform-based financial services model known as the sponsor, or partner, bank, we work closely with our partners to offer products such as payments rails and loan origination services to the latest in regulatory and compliance solutions. What drives us every day? A desire to innovate in the service of financial inclusion. Giving access to consumers, whether they are looking for credit or for a better way to pay has been in our DNA from day one. Our nimble, adaptive, one-step ahead culture is powered by our people, and as a result of their creativity, tech-forward thinking and collaborative spirit, we are experiencing explosive growth.</p>
<br>
<p><br>
<b>What we’re looking for</b></p>
<p>Cross River’s Technology team is made up of problem solvers hungry to perfect new products and systems. As IT Project Manager you play a key role.<br>
<br>
At Cross River, our technology team has an open and transparent environment around process, architecture and development, and everyone’s work is impactful. From building APIs, designing new applications, managing our data platform, deploying new systems or supporting it all, we work together in a cohesive and nimble team that gets things done.<br>
<br>
In this role you will focus on coordination for projects to ensure that they are successful. This will require gathering information across departments, consultant oversight, tool administration, testing and roll outs. One of the projects will include duplicating our current case management system within Salesforce and setting up basic CRM tools across the company. The IT Project Manager will work hand in hand with the Salesforce admin and internal developers for internal projects<br>
</p>
<div>
<br>
<b>Responsibilities:</b><br>
<ul>
<li>Ensure that all projects are delivered on-time, within scope and within budget</li>
<li>Developing project scopes and objectives, involving all relevant stakeholders and ensuring technical feasibility</li>
<li>Ensure resource availability and allocation</li>
<li>Develop a detailed project plan to track progress</li>
<li>Use appropriate verification techniques to manage changes in project scope, schedule and costs</li>
<li>Measure project performance using appropriate systems, tools and techniques</li>
<li>Report and escalate to management as needed</li>
<li>Manage the relationship with the client and all stakeholders</li>
<li>Perform risk management to minimize project risks</li>
<li>Establish and maintain relationships with third parties/vendors</li>
<li>Create and maintain comprehensive project documentation</li>
</ul>
</div>
<br>
<div>
<br>
<b>Qualifications:</b><br>
<ul>
<li>Great educational background, preferably in the fields of computer science or engineering for technical project managers</li>
<li>Proven working experience as a project administrator in the information technology sector</li>
<li>Solid technical background, with understanding or hands-on experience in software development and web technologies</li>
<li>Excellent written and verbal communication skills</li>
<li>Solid organizational skills including attention to detail and multi-tasking skills</li>
<li>Strong working knowledge of Microsoft Office</li>
<li>PMP / PRINCE II certification is a plus</li>
<li>Experience with Sales Force</li>
</ul>
</div>
</div></div>","Who We Are At Cross River, we’re building the best banking and technology products for fintechs, all through APIs. As venture-backed pioneers of the platform-based financial services model known as the sponsor, or partner, bank, we work closely with our partners to offer products such as payments rails and loan origination services to the latest in regulatory and compliance solutions. What drives us every day? A desire to innovate in the service of financial inclusion. Giving access to consumers, whether they are looking for credit or for a better way to pay has been in our DNA from day one. Our nimble, adaptive, one-step ahead culture is powered by our people, and as a result of their creativity, tech-forward thinking and collaborative spirit, we are experiencing explosive growth. What we’re looking for Cross River’s Technology team is made up of problem solvers hungry to perfect new products and systems. As IT Project Manager you play a key role. At Cross River, our technology team has an open and transparent environment around process, architecture and development, and everyone’s work is impactful. From building APIs, designing new applications, managing our data platform, deploying new systems or supporting it all, we work together in a cohesive and nimble team that gets things done. In this role you will focus on coordination for projects to ensure that they are successful. This will require gathering information across departments, consultant oversight, tool administration, testing and roll outs. One of the projects will include duplicating our current case management system within Salesforce and setting up basic CRM tools across the company. The IT Project Manager will work hand in hand with the Salesforce admin and internal developers for internal projects Responsibilities: Ensure that all projects are delivered on-time, within scope and within budget Developing project scopes and objectives, involving all relevant stakeholders and ensuring technical feasibility Ensure resource availability and allocation Develop a detailed project plan to track progress Use appropriate verification techniques to manage changes in project scope, schedule and costs Measure project performance using appropriate systems, tools and techniques Report and escalate to management as needed Manage the relationship with the client and all stakeholders Perform risk management to minimize project risks Establish and maintain relationships with third parties/vendors Create and maintain comprehensive project documentation Qualifications: Great educational background, preferably in the fields of computer science or engineering for technical project managers Proven working experience as a project administrator in the information technology sector Solid technical background, with understanding or hands-on experience in software development and web technologies Excellent written and verbal communication skills Solid organizational skills including attention to detail and multi-tasking skills Strong working knowledge of Microsoft Office PMP / PRINCE II certification is a plus Experience with Sales Force","['api', 'excel', 'stakeholder', 'pmp', 'risk management', 'computer science', 'information technology', 'manager', 'banking', 'communication']",10,,Not specified
Technical Project Manager,C Squared Systems LLC,Auburn,NH,"<div id=""jobDescriptionText"" class=""jobsearch-jobDescriptionText"">
<p></p>
<div>
<div><div>
<p>C2 Systems is currently seeking a Technical Project Manager in support of our software development programs.</p>
<br>
<p></p>
<p><b>Job summary<br>
</b></p>
<p></p>
<br>
<p>In this role, you will be an integral part of the Software team! You will be responsible for creating and maintaining project plans and reporting project status back to Senior Management. You will work with the Development, QA, and Support teams to help coordinate their deliverables and provide unified schedules across the different functional groups. As a Technical Project Manager, you will need to have familiarity with the software development process to facilitate collaboration across teams. You will be expected to be self-motivated and accountable for your own commitments and deliverables. This position is based in our Auburn, NH office and is a great opportunity to make a difference in a rapidly growing company!</p>
<p><b>Primary Job Responsibilities
</b></p>
<p><b>Position Overview</b></p>
<ul>
<li>C Squared PMs are responsible for their projects from their inception through to final delivery and beyond
</li>
<li>We expect our PMs to deliver projects on time, ensuring deadlines are met while helping to develop, grow and support their team along the way
</li>
<li>You must love a challenge and be a good problem solver
</li>
<li>Act as a Liaison between teams, including upper management, Development, QA, Architecture &amp; Design, Support, End Customers and the Sales Team.<br>
</li>
</ul>
<p></p>
<p><b>Core Responsibilities</b></p>
<ul>
<li>Initiate and plan the approach of each project with the cross functional teams to formulate a detailed scope definition
</li>
<li>Drive detailed estimates, work breakdown, and planning to create accurate project plans and detailed project tracking</li>
<li>Identify, quantify, and manage risk as you monitor and control the project scope and schedule throughout the project lifecycle</li>
<li>Monitor project milestones and oversee and lead day-to-day project operations
</li>
<li>Create detailed project documentation and facilitate client working sessions and project status meetings</li>
<li>Be a team player and advocate for your team to build relationships within the organization</li>
<li>Foster a long lasting, “trusted advisor” relationship with internal and external stakeholders
</li>
<li>Be flexible and adapt to the needs of your stakeholders in a fast-paced, ever changing environment</li>
<li>Report on project performance status and baseline comparisons as requested</li>
</ul>
</div></div>
<div></div>
<br>
<div><div>
<p><b>Requirements</b></p>
<p>Knowledge and experience with Project Management methodologies
</p>
<p>Familiarity with the software development life cycle (Waterfall or Agile)</p>
<p>Strong attention to detail</p>
<p>Exceptional verbal and written communication skills</p>
<p>Understand the Expectation of “Owning a Project End to End”</p>
<p>Background in Microsoft Office Products (Office, Word, Excel, Powerpoint, MS Project)
</p>
<p>Ability to manage multiple complex projects simultaneously.</p>
<p>Ability to shift priorities at the drop of hat
</p>
<p>Comfort in working with external stakeholders in multiple companies simultaneously.<br>
</p>
<p></p>
<p><b>Preferred</b></p>
<p>Project Management certification (PMP, CSM, etc.)</p>
<p>Technical Background</p>
<p>Understanding of any of the following: basic computer networking, database management, and/or software development, DAS or WLAN</p>
</div></div>
</div>
<p></p>
</div>","C2 Systems is currently seeking a Technical Project Manager in support of our software development programs. Job summary In this role, you will be an integral part of the Software team! You will be responsible for creating and maintaining project plans and reporting project status back to Senior Management. You will work with the Development, QA, and Support teams to help coordinate their deliverables and provide unified schedules across the different functional groups. As a Technical Project Manager, you will need to have familiarity with the software development process to facilitate collaboration across teams. You will be expected to be self-motivated and accountable for your own commitments and deliverables. This position is based in our Auburn, NH office and is a great opportunity to make a difference in a rapidly growing company! Primary Job Responsibilities Position Overview C Squared PMs are responsible for their projects from their inception through to final delivery and beyond We expect our PMs to deliver projects on time, ensuring deadlines are met while helping to develop, grow and support their team along the way You must love a challenge and be a good problem solver Act as a Liaison between teams, including upper management, Development, QA, Architecture & Design, Support, End Customers and the Sales Team. Core Responsibilities Initiate and plan the approach of each project with the cross functional teams to formulate a detailed scope definition Drive detailed estimates, work breakdown, and planning to create accurate project plans and detailed project tracking Identify, quantify, and manage risk as you monitor and control the project scope and schedule throughout the project lifecycle Monitor project milestones and oversee and lead day-to-day project operations Create detailed project documentation and facilitate client working sessions and project status meetings Be a team player and advocate for your team to build relationships within the organization Foster a long lasting, “trusted advisor” relationship with internal and external stakeholders Be flexible and adapt to the needs of your stakeholders in a fast-paced, ever changing environment Report on project performance status and baseline comparisons as requested Requirements Knowledge and experience with Project Management methodologies Familiarity with the software development life cycle (Waterfall or Agile) Strong attention to detail Exceptional verbal and written communication skills Understand the Expectation of “Owning a Project End to End” Background in Microsoft Office Products (Office, Word, Excel, Powerpoint, MS Project) Ability to manage multiple complex projects simultaneously. Ability to shift priorities at the drop of hat Comfort in working with external stakeholders in multiple companies simultaneously. Preferred Project Management certification (PMP, CSM, etc.) Technical Background Understanding of any of the following: basic computer networking, database management, and/or software development, DAS or WLAN","['api', 'excel', 'stakeholder', 'agile', 'waterfall', 'pmp', 'csm', 'ms project', 'project lifecycle', 'cross functional', 'senior', 'lead', 'manager', 'communication', 'collaboration']",15,,Not specified
